Guangzhou, 广州
Shanghai, 上海
Beijing, 北京
Shantou, 汕头
Shenzhen, 深圳
Tianjin, 天津
Chengdu, 成都
Dongguan, 东莞
Hangzhou, 杭州
Wuhan, 武汉
Xi'an, 西安
Nanjing, 南京
Hong, Kong, 香港
Chongqing, 重庆
Shenyang, 沈阳
Quanzhou, 泉州
Wenzhou, 温州
Qingdao, 青岛
Suzhou, 苏州
Harbin, 哈尔滨
Xiamen, 厦门
Zhengzhou, 郑州
Jinan, 济南
Nanchang, 南昌
Changsha, 长沙
Taiyuan, 太原
Shijiazhuang, 石家庄
Dalian, 大连
Kunming, 昆明
Wuxi, 无锡
Changchun, 长春
Ningbo, 宁波
Zibo, 淄博
Hefei, 合肥
Changzhou, 常州
Taizhou, 台州
Tangshan, 唐山
Nantong, 南通
Nanning, 南宁
Guiyang, 贵阳
Ürümqi, 乌鲁木齐
Fuzhou, 福州
Huai'an, 淮安
Xuzhou, 徐州
Linyi, 临沂
Lanzhou, 兰州
Yangzhou, 扬州
Huizhou, 惠州
Anshan, 鞍山
Haikou, 海口
Yiwu, 义乌
Baotou, 包头
Anyang, 安阳
Liuzhou, 柳州
Hohhot, 呼和浩特
Jilin, City, 吉林市
Putian, 莆田
Xiangtan, 湘潭
Yantai, 烟台
Luoyang, 洛阳
Huainan, 淮南
Jiangmen, 江门
Nanyang, 南阳
Baoding, 保定
Nanchong, 南充
Fuyang, 阜阳
Tai'an, 泰安
Suzhou, 宿州
Lu'an, 六安
Datong, 大同
Zhanjiang, 湛江
Tengzhou, 滕州
Huangshi, 黄石
Jiangyin, 江阴
Weifang, 潍坊
Yinchuan, 银川
Changshu, 常熟
Zhuhai, 珠海
Dengzhou, 邓州
Cixi, 慈溪
Changde, 常德
Pizhou, 邳州
Zhangzhou, 漳州
Datong, 大同
Baoji, 宝鸡
Suqian, 宿迁
Daqing, 大庆
Bozhou, 亳州
Handan, 邯郸
Panjin, 盘锦
Wenling, 温岭市
Ma'anshan, 马鞍山
Zigong, 自贡
Fushun, 抚顺
Mianyang, 绵阳
Yingkou, 营口
Yichang, 宜昌
Heze, 菏泽
Chifeng, 赤峰
Guilin, 桂林
Xiangyang, 襄阳
Rugao, 如皋
Xuchang, 许昌
Wuhu, 
Neijiang, 内江
Zhangjiagang, 张家港
Yixing, 宜兴
Fuqing, 福清
Zhaoqing, 肇庆
Xinyang, 信阳
Liaocheng, 
Maoming, 茂名
Panzhihua, 攀枝花
Jiaxing, 嘉兴
Haicheng, 海城
Zhenjiang, 镇江
Xining, 西宁
Tianshui, 天水
Taixing, 泰兴市
Huazhou, 化州
Qujing, 曲靖
Dingzhou, 定州
Zhangqiu, 章丘
Zhuji, 诸暨
Xingtai, 邢台
Jingzhou, 荆州
Shouguang, 寿光
Yuzhou, 禹州
Bazhong, 巴中
Zoucheng, 邹城市
Jining, 济宁
Huaibei, 淮北
Zunyi, 遵义
Guigang, 贵港
Zhucheng, 济宁
Jinhua, 金华
Hengyang, 衡阳
Zhuzhou, 株洲
Lianyungang, 连云港
Ezhou, 鄂州
Pingdingshan, 平顶山
Qinhuangdao, 秦皇岛
Linhai, 临海
Wuwei, 武威
Hezhou, 贺州
Zaoyang, 枣阳
Xiangcheng, 项城
Dongying, 东营
Yueyang, 岳阳
Laiwu, 莱芜
Qiqihar, 齐齐哈尔
Benxi, 本溪
Bengbu, 蚌埠
Qidong, 启东
Mudanjiang, 牡丹江
Danyang, 丹阳市
Wuchuan, 吴川
Feicheng, 肥城
Xianyang, 咸阳
Linfen, 临汾
Xinyi, 新沂
Weihai, 威海
Haimen, 海门
Xinxiang, 新乡
Zaozhuang, 枣庄
Kaifeng, 开封
Hengyang, 衡阳
Shaoxing, 绍兴
Jiamusi, 佳木斯
Suihua, 绥化
Jinzhou, 锦州
Langfang, 廊坊
Jiaozuo, 焦作
Rizhao, 日照
Wuhu, 芜湖
Zhoushan, 舟山
Yibin, 宜宾
Kashgar, 喀什
Dandong, 丹东
Anqing, 安庆
Huludao, 葫芦岛
Shaoyang, 邵阳
Binzhou, 滨州
Zhangzhou, 江
Fuxin, 阜新
Dezhou, 德州
Yangjiang, 阳江
Tieling, 铁岭
Liaoyang, 辽阳
Puyang, 濮阳
Yulin, 玉林
Jingjiang, 靖江
Jiujiang, 九江
Taizhou, 泰州
Chuzhou, 滁州
Macau, 澳门
Cangzhou, 沧州
Aksu, 阿克苏
Beihai, 北海
Zhoukou, 周口